,word,importance
0,aa,-0.10788360941040355
1,ability,-1.0742885813260086
2,able,-0.05552715738785904
3,abrasive,0.9920843922479912
4,absolute,0.38804872278651686
5,absolutely,0.5427635610733382
6,absorb,-1.015604636738065
7,absorbed,0.5558493976626901
8,absorbent,-0.1863244827968903
9,absorbing,0.5064637025166575
10,absorbs,2.1661626269638075
11,absorption,0.37306030541083834
12,accent,0.29057408896149944
13,accept,-0.34637806388643244
14,acceptable,-1.2156945304681404
15,access,0.7333864820409286
16,accessories,0.4740864876005294
17,accessory,-0.07921582372231745
18,accident,0.8432746612368723
19,accidentally,0.4522712925147731
20,accommodate,0.7146511027023577
21,according,-0.21861461793338474
22,account,0.27933668327455663
23,accurate,0.2812315218444179
24,acetone,-0.23735793826923082
25,ache,-0.06635575809019038
26,aches,1.459872076267433
27,achieve,-0.32371797271111025
28,acid,-0.19416134659026882
29,acne,0.8860529588951133
30,acrylic,-0.28570618881133064
31,acrylics,0.6664679345656185
32,act,-0.0723667885384053
33,action,0.32436575878051405
34,activator,0.538766268896019
35,active,-0.1437847019669473
36,activities,0.7156635672273978
37,activity,-0.10619992146215035
38,acts,0.0035899236061427134
39,actual,-1.8237019338230156
40,actually,0.589390498537011
41,ad,-1.940786128617771
42,adapter,-0.4821623588358478
43,add,0.9773660123870173
44,added,1.1978613647829066
45,addicted,0.8726387245521914
46,adding,0.5900223705793112
47,addition,1.1516484732438934
48,additional,-0.039804214514728375
49,additionally,-0.44478597799292857
50,address,0.5589920096317871
51,adds,2.001244138682152
52,adequate,-0.5795826987616031
53,adhere,-1.462682993450524
54,adhesion,-0.1619912490639836
55,adhesive,-0.7842498418153498
56,adjust,-0.3587539407249856
57,adjustable,-0.10321214242424442
58,adjusted,-0.3580288382453054
59,adjusting,-0.24247813327078294
60,adjustment,-0.07799513163134518
61,adjustments,0.2285258978855114
62,admit,0.43887074765718115
63,adorable,2.841212784155112
64,adore,1.8550932611497197
65,adult,-0.5572031503665473
66,adults,0.2422438926404857
67,advertise,-0.730000788861614
68,advertised,0.14188317188716115
69,advertisement,-1.540462966103179
70,advertising,-2.6876588866465316
71,advice,-0.29574573197422854
72,advise,0.032504971217526414
73,advised,-0.64932991794329
74,aeroblend,-0.1195967563448838
75,aerosol,-0.06593905080184037
76,affect,-0.19000769648585913
77,affected,-0.12887487584867335
78,afford,-0.35171418347067473
79,affordable,2.403199219853516
80,afraid,-0.2357286673001155
81,african,-0.3050625477103175
82,afro,-0.6089826215104506
83,afternoon,0.13513050848795766
84,aftershave,0.8030663217611388
85,afterward,0.21654525015864823
86,againbr,-0.3291526885106489
87,age,0.998218448960589
88,aged,0.055500021136041966
89,agent,-0.7718946977641045
90,ages,0.7724658689712189
91,aggressive,-1.0096390858430866
92,aging,0.4232419892294699
93,ago,0.12800931160814985
94,agrado,-0.42601616935831915
95,agree,0.34235179664834126
96,ahead,0.22170520764230592
97,aid,0.13155017524532772
98,aids,0.3081241914200191
99,aint,0.0206379428870606
100,air,-0.009288536258829928
101,airbrush,-0.34150464237540507
102,airy,0.6252018889145272
103,al,0.13397999831655283
104,alcohol,-1.178381136040734
105,algo,-0.6341849118822159
106,alittle,0.7596900543993951
107,allbr,-1.0717433863800405
108,allergic,-0.7875932923156362
109,allergies,1.1295636524681785
110,allergy,-0.08657414029581074
111,allow,0.22604886358510726
112,allowed,0.09549105054263549
113,allowing,-0.22547348023165753
114,allows,2.6763921667747494
115,almay,-0.45742111859804274
116,almond,0.014689127808541858
117,aloe,0.20734792219363404
118,alot,-0.4453066836816008
